    ROW ID,SHOW ID,SHOW,Status,PRODUCTION TYPE,OPENING  DATE,CLOSING  DATE,# of  PERFORMANCES,PRODUCTION NOTES,PERSON ID,LAST NAME,FIRST NAME,Lifespan if deceased,Role,Person Start Date,Person End Date,PREFIX,WEBSITE,INTERNET BROADWAY DATABASE,LINK TO PHOTO,Photo Credit,PERSON FUN FACTS
231,S0150,Once Upon a Mattress,Closed,Revival,8/12/2024,11/30/2024,128,,P0020,Campbell,Mary-Mitchell,,Music Supervisor,,,,https://www.marymitchellcampbell.com/,https://www.ibdb.com/broadway-cast-staff/mary-mitchell-campbell-423557,https://flerlageapps.com/Women-Conductors/P0020.jpg,,
232,S0150,Once Upon a Mattress,Closed,Revival,8/12/2024,11/30/2024,128,,P0036,duChateau,Annbritt,,Music Director / Conductor,8/12/2024,11/30/2024,,https://www.annbrittduchateau.com/,https://www.ibdb.com/broadway-cast-staff/annbritt-duchateau-112939,https://flerlageapps.com/Women-Conductors/P0036.jpg,,
233,S0150,Once Upon a Mattress,Closed,Revival,8/12/2024,11/30/2024,128,,P0099,Wicks,Charity,,Associate Music Director / Associate Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/charity-wicks-505937,https://flerlageapps.com/Women-Conductors/P0099.jpg,,
234,S0151,Once Upon a One More Time,Closed,Original,6/22/2023,9/3/2023,83,,P0038,Ebbesen,Anna,,Associate Conductor,,,,https://annaebbesen.com/,https://www.ibdb.com/broadway-cast-staff/anna-ebbesen-532984,https://flerlageapps.com/Women-Conductors/P0038.jpg,,
235,S0152,Only Fools Are Sad,Closed,Original,11/22/1971,3/26/1972,144,,P0049,Hakohen,Hanna,,Music Director,,,,,https://www.ibdb.com/broadway-cast-staff/hanna-hakohen-104205,https://flerlageapps.com/Women-Conductors/P0049.jpg,,
236,S0153,Operation Mincemeat,Running,Original,3/20/2025,,293,,P0038,Ebbesen,Anna,,Substitute Conductor,4/1/2025,,,https://annaebbesen.com/,https://www.ibdb.com/broadway-cast-staff/anna-ebbesen-532984,https://flerlageapps.com/Women-Conductors/P0038.jpg,,
237,S0153,Operation Mincemeat,Running,Original,3/20/2025,,293,,P0069,Morton,Amanda,,Associate Conductor,4/1/2025,,,,https://www.ibdb.com/broadway-cast-staff/amanda-morton-525182,https://flerlageapps.com/Women-Conductors/P0069.jpg,,
238,S0154,Pal Joey,Closed,Revival,12/18/2008,3/1/2009,85,,P0036,duChateau,Annbritt,,Associate Music Director / Associate Conductor,12/18/2008,3/1/2009,,https://www.annbrittduchateau.com/,https://www.ibdb.com/broadway-cast-staff/annbritt-duchateau-112939,https://flerlageapps.com/Women-Conductors/P0036.jpg,,
239,S0155,Passing Strange,Closed,Original,2/28/2008,7/20/2008,165,,P0073,Rodewald,Heidi,,Co-Music Supervisor,,,,,https://www.ibdb.com/broadway-cast-staff/heidi-rodewald-475093,https://flerlageapps.com/Women-Conductors/P0073.jpg,,
240,S0156,Perfectly Frank,Closed,Original,11/30/1980,12/13/1980,17,,P0079,Segovia,Yolanda,,Music Director / Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/yolanda-segovia-77475,https://flerlageapps.com/Women-Conductors/P0079.jpg,,
241,S0157,Peter Pan,Closed,Revival,9/6/1979,1/4/1981,554,,P0016,Browne,Jean Marie,,Associate Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/jean-marie-browne-110436,https://flerlageapps.com/Women-Conductors/P0016.jpg,,"In 1989 she founded Apple Music Copy Services which led her to purchase the domain name www.applemusic.com, which she sold to Steve Jobs in 2003 for the launch of Apple's iTunes Music Store"
242,S0158,Pippin,Closed,Original,10/23/1972,6/12/1977,1944,,P0021,Campbell,Sande,1937-2024,Associate Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/sande-campbell-84933,https://flerlageapps.com/Women-Conductors/P0021.jpg,,
243,S0159,Pippin,Closed,Revival,4/25/2013,1/4/2015,709,,P0031,DiGiallonardo,Nadia,,Music Supervisor,,,,,https://www.ibdb.com/broadway-cast-staff/nadia-digiallonardo-483487,https://flerlageapps.com/Women-Conductors/P0031.jpg,,
244,S0160,Porgy and Bess,Closed,Revival,9/13/1943,10/2/1943,24,,P0056,Jessye,Eva,1895-1992,Music Director,,,,,https://www.ibdb.com/broadway-cast-staff/eva-jessye-94683,https://flerlageapps.com/Women-Conductors/P0056.jpg,,
245,S0161,Pretty Woman,Closed,Original,8/16/2018,8/18/2019,420,,P0025,Conn,Myrna,,Substitute Conductor,1/1/2019,,,,https://www.ibdb.com/broadway-cast-staff/myrna-conn-525068,https://flerlageapps.com/Women-Conductors/P0025.jpg,,
246,S0161,Pretty Woman,Closed,Original,8/16/2018,8/18/2019,420,,P0066,McBride,Julie,,Associate Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/julie-mcbride-501316,https://flerlageapps.com/Women-Conductors/P0066.jpg,,
247,S0162,Purlie,Closed,Original,3/15/1970,11/6/1971,688,,P0015,Brown,Joyce,1920-2015,Conductor,,,Dr.,,https://www.ibdb.com/broadway-cast-staff/joyce-brown-79156,https://flerlageapps.com/Women-Conductors/P0015.jpg,,"Broadway's first Black female conductor (Golden Boy, replacement circa 1965)
Broadway's first Black female conductor to open a show (Purlie, 1970)"
248,S0163,Quilters,Closed,Original,9/25/1984,10/14/1984,24,"Also the composer, lyricist, director, co-book writer, and co-orchestrator.",P0028,Damashek,Barbara,,Co-Music Director,,,,,https://www.ibdb.com/broadway-cast-staff/barbara-damashek-4419,https://flerlageapps.com/Women-Conductors/P0028.jpg,,
249,S0164,Ragtime,Closed,Revival,11/15/2009,1/10/2010,65,,P0004,Anschutz,Sue,,Assistant Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/sue-anschutz-109379,https://flerlageapps.com/Women-Conductors/P0004.jpg,Photo by Deborah Abramson,
250,S0165,Real Women Have Curves,Closed,Original,4/27/2025,6/29/2025,65,,P0026,Crosby,Alex,,Associate Conductor,,,,https://www.alexandracrosby.com/,https://www.ibdb.com/broadway-cast-staff/alex-crosby-537933,https://flerlageapps.com/Women-Conductors/P0026.jpg,,
251,S0165,Real Women Have Curves,Closed,Original,4/27/2025,6/29/2025,65,,P0031,DiGiallonardo,Nadia,,Music Supervisor,,,,,https://www.ibdb.com/broadway-cast-staff/nadia-digiallonardo-483487,https://flerlageapps.com/Women-Conductors/P0031.jpg,,
252,S0166,Redwood,Closed,Original,2/13/2025,5/18/2025,110,,P0008,Bennett,Haley,,Associate Music Supervisor,,,,,https://www.ibdb.com/broadway-cast-staff/haley-bennett-516909,https://flerlageapps.com/Women-Conductors/P0008.jpg,Photo by Gareth Keegan,
253,S0166,Redwood,Closed,Original,2/13/2025,5/18/2025,110,,P0066,McBride,Julie,,Music Director / Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/julie-mcbride-501316,https://flerlageapps.com/Women-Conductors/P0066.jpg,,
254,S0167,Romance/Romance,Closed,Original,4/20/1988,1/15/1989,297,,P0043,Goetz,Sariva,,Substitute Conductor,,,,https://www.sarivagoetz.com/,https://www.ibdb.com/broadway-cast-staff/sariva-goetz-410640,https://flerlageapps.com/Women-Conductors/P0043.jpg,,
255,S0167,Romance/Romance,Closed,Original,4/20/1988,1/15/1989,297,,P0085,Sommer,Kathy,,Music Director / Conductor,,,,https://www.kathysommer.com/,https://www.ibdb.com/broadway-cast-staff/kathy-sommer-83563,https://flerlageapps.com/Women-Conductors/P0085.jpg,Photo by Abi Hodes,
256,S0168,"Shogun, The Musical",Closed,Original,11/20/1990,1/20/1991,72,,P0006,Aycock (Goldbaum),Janet,,Associate Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/janet-aycock-82736,https://flerlageapps.com/Women-Conductors/P0006.jpg,,
257,S0169,Show Boat,Closed,Revival,10/2/1994,1/5/1997,947,,P0064,Matejka,Catherine,,Co-Associate Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/catherine-matejka-107654,https://flerlageapps.com/Women-Conductors/P0064.jpg,,
258,S0169,Show Boat,Closed,Revival,10/2/1994,1/5/1997,947,,P0100,Will,Ethyl,,Assistant Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/ethyl-will-71588,https://flerlageapps.com/Women-Conductors/P0100.jpg,,Ethyl Will has been conducting the Radio City Christmas Spectacular since 2010. She was the first (and so far the only) woman to conduct the Radio City orchestra.
259,S0170,Six,Running,Original,10/3/2021,,1722,,P0009,Benson,Madeline,,Substitute Conductor,1/1/2022,12/31/2023,,https://www.madeline-benson.com/,,https://flerlageapps.com/Women-Conductors/P0009.jpg,,The youngest woman to ever conduct on Broadway when she made her debut at Waitress.
260,S0170,Six,Running,Original,10/3/2021,,1722,,P0014,Brennan,Kerianne,,Substitute Conductor,2/1/2024,,,https://keriannebrennan.com/,,https://flerlageapps.com/Women-Conductors/P0014.jpg,,
261,S0170,Six,Running,Original,10/3/2021,,1722,,P0022,Cardona,Jane,,Substitute Conductor,1/1/2022,12/31/2022,,,https://www.ibdb.com/broadway-cast-staff/jane-cardona-518820,https://flerlageapps.com/Women-Conductors/P0022.jpg,,
262,S0170,Six,Running,Original,10/3/2021,,1722,,P0022,Cardona,Jane,,Substitute Conductor,12/1/2024,,,,https://www.ibdb.com/broadway-cast-staff/jane-cardona-518820,https://flerlageapps.com/Women-Conductors/P0022.jpg,,
263,S0170,Six,Running,Original,10/3/2021,,1722,,P0024,Coleman,Katie,,Substitute Conductor,1/1/2023,,,https://www.katiecolemanmusic.com/,https://www.ibdb.com/broadway-cast-staff/katie-coleman-536245,https://flerlageapps.com/Women-Conductors/P0024.jpg,,
264,S0170,Six,Running,Original,10/3/2021,,1722,,P0026,Crosby,Alex,,Substitute Conductor,1/1/2022,2/28/2025,,https://www.alexandracrosby.com/,https://www.ibdb.com/broadway-cast-staff/alex-crosby-537933,https://flerlageapps.com/Women-Conductors/P0026.jpg,,
265,S0170,Six,Running,Original,10/3/2021,,1722,,P0032,Doran,Elizabeth,,Associate Music Director / Substitute Conductor,1/1/2021,12/31/2022,,,https://www.ibdb.com/broadway-cast-staff/elizabeth-doran-520447,https://flerlageapps.com/Women-Conductors/P0032.jpg,,
266,S0170,Six,Running,Original,10/3/2021,,1722,,P0035,Duchak,Roberta,,Music Supervisor,,,,https://www.robertaduchak.net/,https://www.ibdb.com/broadway-cast-staff/roberta-duchak-109213,https://flerlageapps.com/Women-Conductors/P0035.jpg,,
267,S0170,Six,Running,Original,10/3/2021,,1722,,P0038,Ebbesen,Anna,,Substitute Conductor,1/1/2024,,,https://annaebbesen.com/,https://www.ibdb.com/broadway-cast-staff/anna-ebbesen-532984,https://flerlageapps.com/Women-Conductors/P0038.jpg,,
268,S0170,Six,Running,Original,10/3/2021,,1722,,P0040,Gatchell,Mary,,Substitute Conductor,1/1/2021,12/31/2022,,https://www.marygatchell.com/,,https://flerlageapps.com/Women-Conductors/P0040.jpg,,
269,S0170,Six,Running,Original,10/3/2021,,1722,,P0044,Golden,"Alex ""Goldie""",,Associate Music Director,3/1/2025,,,https://www.alexgoldiegolden.com/,https://www.ibdb.com/broadway-cast-staff/alex-goldie-golden-538294,https://flerlageapps.com/Women-Conductors/P0044.jpg,,
270,S0170,Six,Running,Original,10/3/2021,,1722,,P0053,Hutch,Dani Lee,,Substitute Conductor,3/1/2025,,,https://danileehutch.com/,https://www.ibdb.com/broadway-cast-staff/dani-lee-hutch-537268,https://flerlageapps.com/Women-Conductors/P0053.jpg,,
271,S0170,Six,Running,Original,10/3/2021,,1722,,P0065,Maze,Valerie,,Associate Music Director / Substitute Conductor,12/1/2023,,,https://valeriemaze.com/,https://www.ibdb.com/broadway-cast-staff/valerie-maze-536220,https://flerlageapps.com/Women-Conductors/P0065.jpg,,
272,S0170,Six,Running,Original,10/3/2021,,1722,,P0068,Moore,Jodie,,Substitute Conductor,1/1/2022,12/31/2022,,,https://www.ibdb.com/broadway-cast-staff/jodie-moore-483753,https://flerlageapps.com/Women-Conductors/P0068.jpg,,
273,S0170,Six,Running,Original,10/3/2021,,1722,,P0076,Rosso,Jessie,,Substitute Conductor,1/1/2022,,,https://www.jessierosso.com/,https://www.ibdb.com/broadway-cast-staff/jessie-rosso-535795,https://flerlageapps.com/Women-Conductors/P0076.jpg,,
274,S0170,Six,Running,Original,10/3/2021,,1722,,P0077,Schade,Julia,,Music Director / Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/julia-schade-526725,https://flerlageapps.com/Women-Conductors/P0077.jpg,,
275,S0171,SMASH,Closed,Original,4/10/2025,6/22/2025,75,,P0099,Wicks,Charity,,Associate Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/charity-wicks-505937,https://flerlageapps.com/Women-Conductors/P0099.jpg,,
276,S0172,Some Like It Hot,Closed,Original,12/11/2022,12/30/2023,441,,P0020,Campbell,Mary-Mitchell,,Music Supervisor,,,,https://www.marymitchellcampbell.com/,https://www.ibdb.com/broadway-cast-staff/mary-mitchell-campbell-423557,https://flerlageapps.com/Women-Conductors/P0020.jpg,,
277,S0172,Some Like It Hot,Closed,Original,12/11/2022,12/30/2023,441,,P0036,duChateau,Annbritt,,Associate Conductor,12/11/2022,6/10/2023,,https://www.annbrittduchateau.com/,https://www.ibdb.com/broadway-cast-staff/annbritt-duchateau-112939,https://flerlageapps.com/Women-Conductors/P0036.jpg,,
